ID,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
B57,4.573470638,3.653071277,1621.692464,0.729776555,3286.690006,1187.531363,4639.500493,69.03753948,7.666458833,22.28058275,0.001182568,0.315831839,2.399879066,20.61141234,0.015284949,1.386189227,1.69681561,0.245975413,0.475648412,0.018038325
IA2132Goodman-Buckler,4.04200926,2.676501762,1297.330556,0.991076056,3916.110749,1369.828298,4626.620535,88.53602,6.019446487,26.63020425,0.002121411,0.199674935,3.162052322,27.5214352,0.019759997,2.747736158,4.203060583,0.227008243,0.465682374,0.018255316
MS1334,4.814003189,3.187088634,1635.36105,0.52198645,3798.234757,1337.326158,3739.259164,37.94543783,6.671823514,27.47679146,0.001686657,0.13413212,2.963064687,29.99872221,0.015272786,1.856192399,1.937728391,0.090106284,0.360738662,0.01825582
Mp339,4.309855232,3.311207418,1751.227278,0.923291728,3665.60282,1236.414884,4632.702896,83.49367265,5.82469302,19.74649302,0.001234867,0.228434524,1.889948704,17.34189197,0.017168634,1.33009626,1.839193976,0.287376155,0.17689303,0.018334505
I137TN,4.520675415,2.410809335,1312.069777,0.585133219,3931.048777,1272.615065,3883.40164,71.95836746,8.96295393,20.89932876,0.001119614,0.203025714,1.546264323,27.40329255,0.012689807,1.477023395,1.515707327,0.140873432,0.222887205,0.018428605
ND246,3.742463281,3.62610495,1651.001612,1.026175543,4725.070489,1592.925428,4637.274394,70.77781364,12.07775916,28.46741134,0.002539532,0.120899803,2.624322263,29.36143079,0.015286984,2.200402691,0.775351516,0.166269072,0.614732114,0.01843439
CML332,5.116317648,3.458537505,1384.248087,1.070636527,3936.800988,1094.763148,4755.795205,86.85346917,6.70193196,26.04306132,0.001442079,0.250433467,1.865773581,28.74488439,0.015676149,1.594909293,1.701229022,0.240896341,0.344824811,0.018441308
WD,4.244750177,2.937407011,1561.609172,0.612314006,4041.395164,1155.011747,4078.737041,47.93202628,6.269694005,20.58307077,0.001589585,0.491135194,3.940570351,28.51121726,0.017093582,1.349709133,1.789423388,0.096185794,0.163287478,0.018454188
Ci91BGoodman-Buckler,3.337320214,2.283409762,1291.757364,1.114958653,3854.339725,1156.316744,4605.87902,57.80082802,5.339426383,19.38025593,0.002524893,0.26677004,2.86328126,21.00810765,0.015049741,1.805981412,2.886472754,0.093214894,0.328331925,0.018608102
Va17,4.45028013,3.736586097,1508.511571,0.752813595,3940.761976,1287.577527,4210.238228,54.41292154,7.838244289,27.04700314,0.001101852,0.209262694,1.893779925,27.30544562,0.01398659,1.224513145,0.99537851,0.166690253,0.316286302,0.018667489
SD44,3.991442507,2.230476835,1353.711245,0.78510727,3469.070355,1039.761841,3227.469281,42.10713599,6.836370406,19.66298761,0.001070378,0.1866586,0.679876749,21.12412988,0.013642986,1.474730652,1.036447954,0.082347925,0.224732412,0.018798724
NC230,4.543197804,3.188395241,1344.787966,0.853359009,3093.648609,1127.69615,3840.001118,55.8067812,4.531351253,24.8923891,0.001491213,0.496854456,1.753863441,21.45856312,0.018150529,1.472849854,1.938343784,0.155709792,0.206914203,0.018811099
A214NGoodman-Buckler,5.009895817,2.590869383,1342.934725,0.610129147,3603.004833,1261.84907,4818.680491,42.85031995,6.142156542,17.03877773,0.000984313,0.11843464,2.303006441,21.84658871,0.015253639,1.487617126,2.573090936,0.088276791,0.178238574,0.018926388
B164,4.627762387,3.419906507,1243.323113,1.093032168,3146.919849,995.4419825,3419.027507,59.09316272,6.924911865,18.33040385,0.001255083,0.245634363,1.256847419,21.50715086,0.016023757,1.261511224,1.438819649,0.133675879,0.383896355,0.018931008
CML103,4.002880939,2.864058735,1389.318386,0.748298426,3663.662463,1203.624218,4193.125184,68.23685946,6.874281952,23.9107136,0.001149825,0.208300646,2.04553942,31.85578569,0.013070649,1.675824458,1.681702351,0.133418028,0.10163312,0.01933359
NC340,3.681857476,1.987142342,1024.044175,0.682979589,3276.388358,1204.259427,3742.814456,103.9956647,4.072153961,19.2980892,0.001760532,0.100394125,1.553476959,21.7194823,0.014376418,3.354683941,2.340564792,0.156886328,0.169302215,0.019350164
NC302,3.709672655,1.98080627,974.5983252,0.546150586,2764.289347,980.5910873,3351.012372,50.95809504,4.9943259,17.19878068,0.000829903,0.051584301,1.405119191,15.81443072,0.0109919,1.90754337,0.866983491,0.0895387,0.144512477,0.019517127
Mo44,4.341728699,2.659205539,1351.731385,0.638248034,3218.654294,1161.627742,4229.043362,59.16867506,6.508157812,23.38003756,0.00141266,0.267301378,1.945979544,25.43946605,0.013813591,1.443353593,2.497320454,0.149842625,0.320381796,0.019742093
A641,4.158428088,2.345737365,1461.191327,0.871150925,3658.90811,1082.527856,3957.374809,41.76439043,6.04882792,21.05347857,0.001493499,0.191848068,1.940395723,20.80452297,0.016646436,1.78744149,1.603914071,0.086689174,0.262548282,0.019750563
KY226,4.286441188,3.175388805,1738.917185,0.677190048,3895.513184,1141.55094,3129.632457,45.90958331,7.369800639,21.56310974,0.001212541,0.071525209,1.245249425,20.02374549,0.011718925,1.757952082,1.537904697,0.105269006,0.299304361,0.019770241
33-16,4.231869967,2.682918576,1322.63956,0.786456669,3098.837524,1126.094126,4284.322308,87.84589187,5.439784025,21.68556369,0.001817969,0.578149565,3.091651032,22.86500415,0.015016207,1.24907871,2.108013675,0.199257394,0.268471952,0.019780874
T8,4.369346433,1.458086378,1610.510848,0.638138236,3664.566062,1135.011536,3535.35876,47.68299801,5.752423801,19.53266712,0.001461977,0.197733207,2.61256877,28.79493809,0.013821825,1.946025403,1.544394114,0.138808498,0.286148062,0.019795854
CML331,3.745435395,1.335613953,1532.599949,0.59210409,2621.373593,1262.929514,3941.599635,36.75485197,5.273882502,15.82150467,0.001097817,0.220018313,1.335687982,19.10802898,0.013378352,3.235711009,2.319169526,0.029165077,0.244281083,0.019809806
Mo1W,4.191418346,3.495653527,1206.119114,0.817202005,3123.557684,1288.802705,4169.470792,41.15491754,4.497374893,23.64839961,0.001514348,0.54013893,1.450121442,23.88824113,0.018010868,1.71924946,1.33520095,0.141958753,0.246122987,0.01991929
NC352,3.839874389,2.321334108,1155.582819,0.632302281,3075.284259,1307.483021,5514.017853,60.42913615,4.344220548,16.97002305,0.001030021,0.055808543,1.095586655,20.50493588,0.012940975,1.412688568,1.706835045,0.097027007,0.152435818,0.019976492
NC336,3.954688705,3.281490134,1130.065455,0.829321153,2979.014235,1192.920695,4178.510369,64.32366104,5.770172581,16.73328675,0.001131995,0.07862097,1.090097816,16.94204686,0.014493429,1.244184047,2.202488848,0.164010556,0.206108693,0.020032865
CMV3,4.371356189,3.316749255,1495.914362,0.728405889,3954.83898,1186.381316,4596.877005,55.06356876,5.418494328,24.97463984,0.001516237,0.224559431,1.77074604,23.07902521,0.01880753,1.958845372,1.320043789,0.126150203,0.274165218,0.02004146
A634,4.601104997,2.118424747,1529.921632,0.49385065,3693.867198,1272.779507,3860.137488,54.8473062,6.982587891,20.23703222,0.00072672,0.259021328,1.904203771,22.29420443,0.010986811,1.668801763,1.586406613,0.110914271,0.283992725,0.020065168
M14,4.669700202,4.22352856,1400.23049,1.071913118,3731.046149,1264.180781,3414.83407,113.5845028,6.015197648,17.74903746,0.001295169,0.24121263,2.038981991,22.67054316,0.01776241,1.937395894,1.177895152,0.276868292,0.284752027,0.020193958
T234,4.389514703,3.378313761,1518.437149,0.818642139,3420.189834,1284.014314,4159.754331,88.87658725,5.974131169,17.82479384,0.001244079,0.172479912,1.486161687,24.64576898,0.017557716,1.327067284,1.326772805,0.204164955,0.298607152,0.020201299
NC222,4.191788694,2.177848168,1246.12416,0.928904886,4095.179823,1383.241139,4531.690467,104.2585545,4.823607327,28.53252326,0.001628209,0.355819226,2.728466211,28.78231795,0.015463638,1.593598645,2.144531066,0.290573695,0.30299926,0.020397421
