plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,PlotID,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
21,154,10PU1379,164,1115,2,4,3,9,485,MO279,IBM,Z017E0171,10PU1379,17,319.842,3.713693907,3.401399242,1140.291065,0.446599459,3229.190396,975.6274681,3825.44446,51.47787382,5.835916051,19.60819714,0.000992012,0.265387255,1.337124229,20.20979237,0.016861004,1.070688298,0.363093666,0.153309802,0.367656925,0.050530883
81,156,10PU0663,162,4323,7,14,3,9,483,NA,(B73×Ky21)S5 Sib,Z014E0162,10PU0663,14,302.87,3.787504042,0.768361317,1225.590076,0.778920452,2012.133426,1049.690679,3516.282303,35.7737739,2.912713956,17.79341786,0.001418544,0.298587943,2.156766231,22.57908632,0.013860714,1.314472135,0.355546791,0.07559933,0.595391672,0.050455301
48,273,10PU1425,304,2539,4,8,6,12,625,MO014,IBM,Z017E0007,10PU1425,17,164.084,5.314723693,5.008795168,988.1563244,2.007932956,2635.372568,1117.939262,4621.728945,74.95877157,4.793170155,19.69539037,0.001940622,0.141789962,1.241008124,19.84562138,0.024978942,0.916659067,0.642030725,0.186248159,0.309240752,0.05044337
87,153,10PU1459,165,4647,8,15,3,3,165,MO116,IBM,Z017E0119,10PU1459,17,187.644,5.04763922,3.202398478,1051.118338,0.969039718,2938.232384,1058.316996,4347.417135,52.94757004,4.835554069,28.07701579,0.001346454,0.180277276,0.950027382,22.93876689,0.020371602,1.426192978,0.329684934,0.075137861,0.465060554,0.050304369
39,136,10PU0806,152,2066,4,7,3,3,152,NA,(B73×Ky21)S5 Sib,Z014E0186,10PU0806,14,280.481,4.479889374,2.428235949,1245.030322,0.513575342,2990.077285,1075.870892,3454.308206,54.371219,3.536963924,20.87117604,0.001163318,0.397817514,1.749088016,21.91243749,0.013675275,1.02458332,0.412707582,0.11555262,0.45080129,0.050091563
49,67,10PU4211,75,2631,5,9,1,1,75,NA,Mt42,Z027E0175,10PU4211,27,122.629,5.163025819,5.379492632,1544.307092,0.737097513,3695.721343,1166.918959,5042.489267,84.95349696,4.716422737,22.8406991,0.003416396,0.173297073,1.04143736,27.88925937,0.031446399,2.557209692,1.156335616,0.216473929,0.40676978,0.050039019
61,2,10PU1454,13,3211,6,11,1,1,13,NA,Mo17,Z027E0282,10PU1454,27,144.722,5.177613811,2.550601213,1292.218736,0.548243384,4121.645698,1273.034841,5729.395552,51.20060767,10.47565056,18.95132216,0.001874467,0.141354018,2.5474205,27.95213561,0.015344012,1.037592146,0.617690974,0.048319032,0.64153538,0.0500369
81,129,10PU4133,138,4299,7,14,3,9,459,NA,A556,Z027E0011,10PU4133,27,314.265,3.521351489,0.914491111,1188.220538,0.665816568,2263.217795,979.6269504,3644.784725,15.43708538,7.56486573,21.23429303,0.001421967,0.148667518,1.99391443,20.65171312,0.013122592,0.799675878,0.736927839,0.009278974,0.336733901,0.050006061
21,192,10PU1333,202,1153,2,4,3,9,523,MO123,IBM,Z017E0122,10PU1333,17,224.985,3.643562357,5.442389278,1431.020429,0.527725516,3470.792079,1276.606161,4099.762929,38.09344283,8.579990694,26.26622702,0.002064318,0.154921233,1.509641317,25.967798,0.013767828,0.974050918,0.507032207,0.135612778,0.562327271,0.049925997
28,105,10PU1405,112,1384,3,5,4,4,112,MO278,IBM,Z017E0170,10PU1405,17,170.579,4.595267192,3.838668989,1169.821455,1.437694983,3568.933848,1109.64045,4462.715601,36.7972611,4.361065325,24.87703089,0.00168661,0.322812452,1.81974916,25.3338227,0.021926336,1.376631667,0.276774235,0.124307583,0.273890748,0.049833521
