plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,entity_id,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
60,205,5043,240,3117,5,10,6,12,561,NA,Mo24W,Z027E0165,09IN5043,27,89.681,8.339416014,7.604005582,1310.361775,1.720856271,3879.260822,1344.924441,4460.262771,103.7218861,5.085725298,17.39951379,0.002372536,0.230248599,3.142059761,24.6624615,0.042352283,2.407574768,3.731066791,0.261663035,0.30596794,0.116529196
50,9,4980,5,2561,5,9,2,2,5,NA,NC342,Z027E0210,09IN4980,27,246.109,4.374860985,4.314636944,1624.089743,0.528394739,4079.871341,1324.147632,4058.233457,56.32003869,7.154372955,27.19469883,0.001568013,0.349461144,2.612628671,25.21159956,0.014646827,0.863546805,2.369400307,0.086622961,0.152903786,0.116182388
86,43,5132,48,4530,8,15,2,2,48,NA,B37,Z027E0034,09IN5132,27,218.636,4.696653495,2.026912082,1442.812273,0.820905461,3285.52657,1150.382802,3330.835894,35.5026094,6.797434723,18.9599431,0.001038525,0.441473279,3.248901124,22.19814298,0.017395105,1.222535576,1.271396885,0.033837985,0.293617007,0.112456072
55,40,5010,45,2922,5,10,1,7,366,NA,NC260,Z027E0187,09IN5010,27,271.767,4.928988851,1.830155089,1368.546021,0.581213496,3314.414393,1105.049868,3369.674567,58.7603626,8.296017511,25.22997398,0.001948999,0.163944855,0.995266807,25.34223925,0.015050608,1.449077502,1.841288122,0.128632145,0.222610415,0.112226538
40,152,1504,166,2080,4,7,4,4,166,MO378,IBM,Z017E0090,09IN1504,17,265.218,3.935451861,2.528088777,1502.771984,0.870770466,3394.199751,1033.639504,4241.422103,78.64434389,5.055087117,17.41354659,0.001032835,0.150320642,2.325282338,17.05820523,0.013426955,1.666481817,2.882596392,0.152267706,0.374178427,0.111764223
8,9,4980,5,325,1,2,2,8,325,NA,NC342,Z027E0210,09IN4980,27,299.02,3.137413198,1.834288215,1497.680197,0.468924932,3078.149521,1092.779569,3744.172735,85.60447584,6.426213431,25.49474057,0.000991105,0.298548034,2.620649828,21.31165374,0.010822252,0.951002707,2.366578897,0.300397423,0.13456639,0.111360751
55,4,5119,10,2887,5,10,1,7,331,NA,B76,Z027E0043,09IN5119,27,273.672,4.470375416,2.875635646,1480.096113,0.494822691,3774.442364,1150.512981,4143.050747,37.26623397,5.376668708,21.32050563,0.001106833,0.425693424,2.721898372,18.88626497,0.014218795,1.117224069,1.207035202,0.072347806,0.244533549,0.11032419
38,75,5102,92,2006,4,7,2,2,92,NA,Ky21,Z027E0154,09IN5102,27,309.038,4.182802962,1.929574922,1577.443156,0.395956427,3538.259694,1018.305814,4367.803563,84.35405707,5.061270749,17.01821442,0.000785648,0.056106874,3.180642823,22.4477075,0.013185369,0.832630198,1.297865562,0.116473837,0.32152983,0.109689831
38,21,5002,24,1938,4,7,2,2,24,NA,NC262,Z027E0188,09IN5002,27,355.216,5.163563035,2.769895018,1455.596307,1.039237933,2982.497334,1190.286445,3556.137516,42.84647933,4.215663037,23.52513143,0.000938518,0.169066518,2.462892267,18.80362717,0.012346769,0.954425732,1.844449382,0.06141091,0.109946496,0.109315082
44,47,5120,53,2288,4,8,2,8,374,NA,C123,Z027E0049,09IN5120,27,263.77,2.383726704,3.749677181,878.4539911,0.587981052,2889.36105,916.125751,4042.892692,45.08230658,2.95081603,15.36166246,0.001326448,0.399484979,1.742638113,13.17788156,0.016736846,1.312662225,1.611806173,0.089703863,0.19529459,0.107594174
